Model,MinMax,Power,Quantile,Raw,Robust,Standard
AdaBoost,0.8875624999999999,0.8875624999999999,0.8875624999999999,0.8875624999999999,0.8875624999999999,0.8875624999999999
CB,0.9882291666666667,0.9882083333333334,0.9879583333333333,0.9884791666666667,0.9881041666666667,0.9883750000000001
GB,0.9225833333333334,0.9225833333333334,0.9225833333333334,0.9225833333333334,0.9225833333333334,0.9225833333333334
KNN,0.9271041666666667,0.9203541666666666,0.9221458333333334,0.9326666666666666,0.9217916666666668,0.9229375
LDA,0.8554999999999999,0.8953125,0.852875,0.8554999999999999,0.8554999999999999,0.8554999999999999
LGBM,0.9676874999999999,0.9670833333333334,0.967625,0.96775,0.9665625,0.9674375000000002
LR,0.8573541666666665,0.8950833333333333,0.8518958333333334,0.8567083333333334,0.8565416666666665,0.8565625000000001
LinearSVC,0.8565624999999999,0.8969999999999999,0.8522291666666668,0.8564375,0.8563333333333333,0.8563541666666665
NB,0.8308958333333333,0.8430416666666666,0.8398958333333335,0.8308958333333333,0.8308958333333333,0.8308958333333333
QDA,0.8385833333333335,0.8924375,0.8784166666666666,0.79425,0.8402499999999999,0.8466875
RF,0.9599791666666666,0.9597291666666667,0.9598125,0.9599583333333334,0.9599583333333334,0.9599583333333334
SGD,0.8537708333333335,0.8912708333333332,0.8503541666666667,0.8489791666666665,0.8547499999999999,0.8532500000000001
SVM,0.978125,0.9789166666666667,0.9700208333333334,0.9727083333333333,0.9784166666666666,0.9790208333333332
XGB,0.9853125,0.9862083333333332,0.9850625000000001,0.9859166666666667,0.9862083333333332,0.9861041666666667
