Model,Method,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean,Std
AdaBoost,Baseline,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666,0.8875624999999999,0.0070398789643951
AdaBoost,TPE,0.9511458333333334,0.9503125,0.9494791666666668,0.9497916666666668,0.9507291666666666,0.9502916666666664,0.0006052432935972
AdaBoost,GWO,0.9521875,0.9521875,0.9523958333333332,0.9507291666666666,0.9525,0.952,0.0006468406123441
CB,Baseline,0.9885416666666668,0.986875,0.9876041666666666,0.9897916666666666,0.9895833333333334,0.9884791666666668,0.0011211353372561
CB,TPE,0.9944791666666668,0.9954166666666666,0.995,0.9959375,0.9947916666666666,0.995125,0.0005077524002897
CB,GWO,0.9960416666666668,0.9951041666666668,0.9951041666666668,0.9964583333333332,0.9946875,0.9954791666666668,0.0006607813136314
GB,Baseline,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333332,0.9175,0.9225833333333334,0.0039338055860564
GB,TPE,0.9957291666666668,0.995,0.9955208333333332,0.9965625,0.99625,0.9958125,0.0005488308280133
GB,GWO,0.9965625,0.9961458333333332,0.9957291666666668,0.9973958333333334,0.996875,0.9965416666666668,0.0005758447900452
KNN,Baseline,0.93125,0.9294791666666666,0.9372916666666666,0.9333333333333332,0.9319791666666668,0.9326666666666666,0.0026258265894338
KNN,TPE,0.9494791666666668,0.9463541666666668,0.9502083333333332,0.9470833333333334,0.9479166666666666,0.9482083333333332,0.0014424732810927
KNN,GWO,0.9498958333333334,0.9471875,0.949375,0.9480208333333332,0.9494791666666668,0.9487916666666664,0.00101976985421
LDA,Baseline,0.8951041666666667,0.8942708333333333,0.8927083333333333,0.895,0.8994791666666667,0.8953125,0.0022525063201292
LDA,TPE,0.8951041666666667,0.8942708333333333,0.8927083333333333,0.895,0.8994791666666667,0.8953125,0.0022525063201292
LDA,GWO,0.8951041666666667,0.8942708333333333,0.8927083333333333,0.895,0.8994791666666667,0.8953125,0.0022525063201292
LGBM,Baseline,0.9645833333333332,0.966875,0.9696875,0.9696875,0.9679166666666666,0.96775,0.0019146275384813
LGBM,TPE,0.9978125,0.9976041666666666,0.9978125,0.99875,0.9976041666666666,0.9979166666666668,0.000426956281915
LGBM,GWO,0.9969791666666666,0.9967708333333334,0.9976041666666666,0.9982291666666666,0.9980208333333334,0.9975208333333332,0.0005682575707077
LR,Baseline,0.8923958333333334,0.8961458333333333,0.8908333333333334,0.8963541666666667,0.8996875,0.8950833333333333,0.003137751760594
LR,TPE,0.896875,0.8961458333333333,0.8941666666666667,0.8977083333333333,0.9015625,0.8972916666666666,0.0024358078171773
LR,GWO,0.896875,0.8960416666666666,0.894375,0.8980208333333334,0.9015625,0.897375,0.0024074897599874
LinearSVC,Baseline,0.8966666666666666,0.8958333333333334,0.8933333333333333,0.8977083333333333,0.9014583333333334,0.8969999999999999,0.0026568830944883
LinearSVC,TPE,0.8967708333333333,0.8959375,0.8936458333333334,0.8977083333333333,0.90125,0.8970625,0.0024890384689674
LinearSVC,GWO,0.8967708333333333,0.8959375,0.8936458333333334,0.8977083333333333,0.90125,0.8970625,0.0024890384689674
NB,Baseline,0.8444791666666667,0.8452083333333333,0.8429166666666666,0.8429166666666666,0.8396875,0.8430416666666666,0.0018996070500091
NB,TPE,0.8444791666666667,0.8452083333333333,0.8429166666666666,0.8429166666666666,0.8396875,0.8430416666666666,0.0018996070500091
NB,GWO,0.8444791666666667,0.8452083333333333,0.8429166666666666,0.8429166666666666,0.8396875,0.8430416666666666,0.0018996070500091
QDA,Baseline,0.8946875,0.8935416666666667,0.8896875,0.8909375,0.8933333333333333,0.8924375,0.0018382982015379
QDA,TPE,0.8975,0.9033333333333332,0.8977083333333333,0.8990625,0.8972916666666667,0.8989791666666666,0.0022634628092568
QDA,GWO,0.8986458333333334,0.9039583333333332,0.8966666666666666,0.8977083333333333,0.8986458333333334,0.899125,0.0025247043281232
RF,Baseline,0.9579166666666666,0.9629166666666666,0.9617708333333334,0.9580208333333332,0.9592708333333332,0.9599791666666666,0.0020213702035995
RF,TPE,0.955625,0.9636458333333332,0.96,0.9585416666666666,0.9580208333333332,0.9591666666666664,0.0026459153530594
RF,GWO,0.9579166666666666,0.960625,0.9604166666666668,0.9576041666666668,0.9570833333333332,0.9587291666666664,0.0014883809249576
SGD,Baseline,0.8903125,0.8940625,0.8882291666666666,0.8902083333333334,0.8935416666666667,0.8912708333333332,0.0022022321378294
SGD,TPE,0.8940625,0.8951041666666667,0.8957291666666667,0.896875,0.8988541666666666,0.896125,0.0016409473889595
SGD,GWO,0.895625,0.8920833333333333,0.8921875,0.8945833333333333,0.8955208333333333,0.8939999999999999,0.001565413949514
SVM,Baseline,0.9784375,0.9772916666666668,0.9789583333333334,0.9815625,0.9788541666666668,0.9790208333333332,0.0014015740159628
SVM,TPE,0.9932291666666668,0.9935416666666668,0.9944791666666668,0.9913541666666666,0.9940625,0.9933333333333334,0.001078514925462
SVM,GWO,0.9953125,0.9938541666666668,0.9941666666666666,0.99375,0.9952083333333334,0.9944583333333334,0.0006699139662839
XGB,Baseline,0.9842708333333332,0.9876041666666666,0.9871875,0.986875,0.9851041666666668,0.9862083333333332,0.0012903218806001
XGB,TPE,0.9911458333333332,0.9894791666666668,0.9905208333333332,0.9922916666666668,0.9913541666666666,0.9909583333333332,0.0009326262202333
XGB,GWO,0.9903125,0.9904166666666666,0.9901041666666668,0.9904166666666666,0.99125,0.9905,0.0003919768275463
