Model,Variance,Std_Dev,Range,CV_Percent,Mean_Accuracy
QDA,0.0009897063078703695,0.03145959802461515,0.09818749999999998,3.7079452552032586,0.8484375000000001
LinearSVC,0.0002405909529320979,0.015510994582298644,0.04477083333333309,1.7984051432800887,0.8624861111111112
LDA,0.00022690679253472223,0.015063425657357035,0.042437499999999906,1.7481097918429884,0.8616979166666666
LR,0.00021746316792052467,0.014746632426439763,0.043187499999999934,1.710036736665332,0.8623576388888888
SGD,0.0002157672164351842,0.014689016864146634,0.04229166666666673,1.7105529233582533,0.8587291666666667
NB,2.5666148244599086e-05,0.00506617688643015,0.0121458333333333,0.6071494023593743,0.8344201388888889
KNN,1.7663773148148076e-05,0.004202829183793707,0.01231250000000006,0.45460564454231545,0.9245
SVM,1.2388406635802157e-05,0.00351971684028732,0.008999999999999786,0.36055232868429504,0.9762013888888889
XGB,2.0352285879625063e-07,0.00045113507821521775,0.0011458333333331794,0.04576325064051154,0.9858020833333333
LGBM,1.7468412422838296e-07,0.0004179522989868377,0.001187500000000008,0.043205561437122626,0.9673576388888888
CB,2.8850790895074294e-08,0.00016985520567552322,0.0005208333333334147,0.017187896108187262,0.9882256944444445
RF,8.885513117280612e-09,9.426299972566442e-05,0.00024999999999986144,0.009820092501380481,0.9598993055555556
GB,0.0,0.0,0.0,0.0,0.9225833333333334
AdaBoost,0.0,0.0,0.0,0.0,0.8875624999999999
