Model,GWO_Search_Sec,GWO_Evaluation_Sec,GWO_Total_Sec,Best_CV_Mean
AdaBoost,3574.2211003999982,423.2773966000095,3998.186606599993,0.9407499999999999
CB,2490.7657212999766,161.80036220001057,2653.542326099996,0.9944375
KNN,1560.956506699993,148.4782106999919,1709.730150000003,0.9482083333333333
LDA,176.47128599999996,152.6768316999951,329.57622050000646,0.8953125
LGBM,1069.5944657000364,138.05213999998523,1207.9839495999622,0.9974166666666664
LR,378.41369600000326,132.91408430000592,511.64614599999913,0.8973125
LinearSVC,255.20424609999463,105.37664519999817,360.8625305000023,0.8971250000000002
NB,147.18230030000268,138.36777550000988,285.87849269999424,0.8430416666666666
QDA,163.55956189999415,122.48287459999847,286.2886448000063,0.8986458333333334
SGD,143.8542899000022,97.61498839998967,241.7091589000047,0.8955416666666667
XGB,342.0923574999906,92.11486299999524,434.4912329999934,0.9936458333333335
