Model,TPE_Search_Sec,TPE_Evaluation_Sec,TPE_Total_Sec,Best_CV_Mean
AdaBoost,7610.104851900018,471.1819537000265,8083.071237700002,0.9509791666666668
CB,2148.6809816999958,142.12895579999895,2291.1436372000026,0.9940208333333335
GB,43420.3788669,793.8902359999993,44215.3772761,0.9958125000000001
KNN,1417.1168191999996,302.9021236999997,1720.238872500001,0.9487916666666665
LDA,128.84335119999014,123.84005420003086,252.94732219999423,0.8953125
LGBM,2572.02197500004,212.0427845999948,2784.9033782999613,0.9976875
LR,359.3304650000064,136.33559610001976,495.85704240005,0.8973125
LinearSVC,522.6837875000001,203.2849428999998,726.5664555999992,0.8973125
NB,93.15169770002832,90.94659249996766,184.286861200002,0.8430416666666666
QDA,127.29301989998204,110.38756949995876,237.9253580999793,0.8989791666666666
RF,5297.9615115,394.21743550000065,5693.3331361,0.9706041666666667
SGD,161.93693229999917,103.45260859999689,265.61526479999884,0.8961041666666667
SVM,27093.003589199994,1322.2921790999972,28416.02478,0.9943541666666667
XGB,662.3759891000009,139.34447520000685,802.2041647000005,0.9935625
