Best_CV_Mean,Best_Trial,C,Model,Optimal_Scaler,algorithm,alpha,bagging_temperature,border_count,coef0,colsample_bytree,degree,depth,gamma,iterations,kernel,l1_ratio,l2_leaf_reg,learning_rate,loss,max_depth,max_features,metric,min_child_samples,min_child_weight,min_samples_leaf,min_samples_split,n_estimators,n_neighbors,num_leaves,p,penalty,reg_alpha,reg_lambda,reg_param,solver,subsample,var_smoothing,weights
0.9502916666666665,45,,AdaBoost,MinMax,SAMME,,,,,,,,,,,,,1.6255752120226854,,,,,,,,,446.0,,,,,,,,,,,
0.995125,42,,CB,Raw,,,9.153792677646253,206.0,,,,6.0,,435.0,,,3.326244434146532,0.4614832058202427,,,,,,,,,,,,,,,,,,,,
0.9961874999999999,47,,GB,MinMax,,,,,,,,,,,,,,0.43321474820044714,,5.0,,,,,2.0,18.0,487.0,,,,,,,,,0.8452736640307648,,
0.9482083333333333,40,,KNN,Raw,,,,,,,,,,,,,,,,,,manhattan,,,,,,16.0,,5.0,,,,,,,,distance
0.8953125,0,,LDA,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lsqr,,,
0.9979166666666668,46,,LGBM,Raw,,,,,,0.5245976644401318,,,,,,,,0.37113642964593113,,12.0,,,70.0,,,,479.0,,22.0,,,2.8730215021692593e-07,4.0309464904371026e-05,,,0.5373153644287392,,
0.8972916666666666,13,8.224108054741556,LR,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,l1,,,,,,,
0.8970625,17,20.30906532438906,LinearSVC,Power,,,,,,,,,,,,,,,squared_hinge,,,,,,,,,,,,,,,,,,,
0.8430416666666666,0,,NB,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7670169402947963e-10,
0.8989791666666666,41,,QDA,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047310590460576805,,,,
0.9728333333333333,42,,RF,MinMax,,,,,,,,,,,,,,,,18.0,None,,,,1.0,3.0,118.0,,,,,,,,,,,
0.8962291666666667,33,,SGD,Power,,0.0001278930853437539,,,,,,,,,,0.0014214148999362776,,,log_loss,,,,,,,,,,,,l1,,,,,,,
0.9933333333333334,15,924.7926183849094,SVM,Standard,,,,,0.31691598000662463,,3.0,,scale,,rbf,,,,,,,,,,,,,,,,,,,,,,,
0.9909583333333332,47,,XGB,Power,,,,,,0.9323365777883215,,,0.022043288610404152,,,,,0.2779439754711289,,15.0,,,,7.0,,,369.0,,,,,2.9846795723433225e-08,4.008831828977919,,,0.5159453424657643,,
