Model,Optimal_Scaler,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean,Std
AdaBoost,MinMax,0.9511458333333334,0.9503125,0.9494791666666667,0.9497916666666667,0.9507291666666666,0.9502916666666665,0.000605243293597247
CB,Raw,0.9944791666666667,0.9954166666666666,0.995,0.9959375,0.9947916666666666,0.995125,0.0005077524002897503
GB,MinMax,0.9957291666666667,0.995,0.9955208333333333,0.9965625,0.99625,0.9958125000000001,0.000548830828013317
KNN,Raw,0.9494791666666667,0.9463541666666667,0.9502083333333333,0.9470833333333334,0.9479166666666666,0.9482083333333333,0.0014424732810927872
LDA,Power,0.8951041666666667,0.8942708333333333,0.8927083333333333,0.895,0.8994791666666667,0.8953125,0.00225250632012927
LGBM,Raw,0.9978125,0.9976041666666666,0.9978125,0.99875,0.9976041666666666,0.9979166666666668,0.0004269562819150067
LR,Power,0.896875,0.8961458333333333,0.8941666666666667,0.8977083333333333,0.9015625,0.8972916666666666,0.002435807817177356
LinearSVC,Power,0.8967708333333333,0.8959375,0.8936458333333334,0.8977083333333333,0.90125,0.8970625,0.002489038468967471
NB,Power,0.8444791666666667,0.8452083333333333,0.8429166666666666,0.8429166666666666,0.8396875,0.8430416666666666,0.0018996070500091357
QDA,Power,0.8975,0.9033333333333333,0.8977083333333333,0.8990625,0.8972916666666667,0.8989791666666666,0.002263462809256839
RF,MinMax,0.955625,0.9636458333333333,0.96,0.9585416666666666,0.9580208333333333,0.9591666666666665,0.002645915353059428
SGD,Power,0.8940625,0.8951041666666667,0.8957291666666667,0.896875,0.8988541666666666,0.896125,0.0016409473889595833
SVM,Standard,0.9932291666666667,0.9935416666666667,0.9944791666666667,0.9913541666666666,0.9940625,0.9933333333333334,0.001078514925462071
XGB,Power,0.9911458333333333,0.9894791666666667,0.9905208333333333,0.9922916666666667,0.9913541666666666,0.9909583333333332,0.0009326262202333059
