Model,Number_of_Trials,Total_Optimization_Time_Sec,Mean_Trial_Time_Sec
AdaBoost,50,3284.6654543996556,65.69330908799311
CB,50,1744.9439650999266,34.898879301998534
GB,50,13782.881049499934,275.6576209899987
KNN,50,759.7860003999376,15.195720007998752
LDA,50,95.15493410005001,1.9030986820010003
LGBM,50,760.9838634998596,15.219677269997192
LR,50,724.8758425999549,14.497516851999098
LinearSVC,50,116.20139510027366,2.324027902005473
NB,50,86.06172800005879,1.7212345600011758
QDA,50,86.89325820008526,1.737865164001705
RF,50,5641.93282220012,112.83865644400241
SGD,50,123.20715699996799,2.4641431399993596
SVM,50,14569.2391186998,291.38478237399596
XGB,50,533.1653187000193,10.663306374000385
